dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1751-12-01,,,Århus,Denmark,57.05N,10.33E
1752-01-01,-0.7809999999999999,2.622,Århus,Denmark,57.05N,10.33E
1752-02-01,,,Århus,Denmark,57.05N,10.33E
1752-03-01,3.05,1.695,Århus,Denmark,57.05N,10.33E
1752-04-01,5.489,2.51,Århus,Denmark,57.05N,10.33E
1752-05-01,,,Århus,Denmark,57.05N,10.33E
1752-06-01,,,Århus,Denmark,57.05N,10.33E
1752-07-01,,,Århus,Denmark,57.05N,10.33E
1752-08-01,,,Århus,Denmark,57.05N,10.33E
1752-09-01,,,Århus,Denmark,57.05N,10.33E
1752-10-01,8.908,1.709,Århus,Denmark,57.05N,10.33E
1752-11-01,5.6370000000000005,0.9209999999999999,Århus,Denmark,57.05N,10.33E
1752-12-01,2.242,1.175,Århus,Denmark,57.05N,10.33E
1753-01-01,-1.259,8.151,Århus,Denmark,57.05N,10.33E
1753-02-01,-0.285,3.715,Århus,Denmark,57.05N,10.33E
1753-03-01,4.21,3.695,Århus,Denmark,57.05N,10.33E
1753-04-01,6.765,6.727,Århus,Denmark,57.05N,10.33E
1753-05-01,10.65,2.3080000000000003,Århus,Denmark,57.05N,10.33E
1753-06-01,14.444,3.891,Århus,Denmark,57.05N,10.33E
1753-07-01,16.293000000000006,2.6189999999999998,Århus,Denmark,57.05N,10.33E
1753-08-01,15.807999999999998,8.671,Århus,Denmark,57.05N,10.33E
1753-09-01,13.225999999999999,1.6019999999999999,Århus,Denmark,57.05N,10.33E
1753-10-01,9.529,2.69,Århus,Denmark,57.05N,10.33E
1753-11-01,2.871,3.616,Århus,Denmark,57.05N,10.33E
1753-12-01,-3.228,5.421,Århus,Denmark,57.05N,10.33E
1754-01-01,-0.5660000000000001,2.065,Århus,Denmark,57.05N,10.33E
1754-02-01,-0.943,4.59,Århus,Denmark,57.05N,10.33E
1754-03-01,-0.645,4.091,Århus,Denmark,57.05N,10.33E
1754-04-01,5.658,8.046,Århus,Denmark,57.05N,10.33E
1754-05-01,12.265999999999998,3.395,Århus,Denmark,57.05N,10.33E
1754-06-01,14.835,1.5959999999999999,Århus,Denmark,57.05N,10.33E
1754-07-01,15.04,3.327,Århus,Denmark,57.05N,10.33E
1754-08-01,15.537,5.867999999999999,Århus,Denmark,57.05N,10.33E
1754-09-01,12.023,4.118,Århus,Denmark,57.05N,10.33E
1754-10-01,9.129,1.831,Århus,Denmark,57.05N,10.33E
1754-11-01,4.141,2.133,Århus,Denmark,57.05N,10.33E
1754-12-01,1.45,2.8480000000000003,Århus,Denmark,57.05N,10.33E
1755-01-01,-3.4360000000000004,5.961,Århus,Denmark,57.05N,10.33E
1755-02-01,-4.277,4.258,Århus,Denmark,57.05N,10.33E
1755-03-01,0.3559999999999999,5.25,Århus,Denmark,57.05N,10.33E
1755-04-01,7.590999999999998,5.079,Århus,Denmark,57.05N,10.33E
1755-05-01,10.978,2.551,Århus,Denmark,57.05N,10.33E
1755-06-01,16.671,3.943,Århus,Denmark,57.05N,10.33E
1755-07-01,17.572000000000006,2.255,Århus,Denmark,57.05N,10.33E
1755-08-01,14.832999999999998,3.26,Århus,Denmark,57.05N,10.33E
1755-09-01,11.725,1.047,Århus,Denmark,57.05N,10.33E
1755-10-01,8.033,7.966,Århus,Denmark,57.05N,10.33E
1755-11-01,3.284,8.889,Århus,Denmark,57.05N,10.33E
1755-12-01,1.6640000000000001,8.234,Århus,Denmark,57.05N,10.33E
1756-01-01,2.011,6.563,Århus,Denmark,57.05N,10.33E
1756-02-01,2.887,4.599,Århus,Denmark,57.05N,10.33E
1756-03-01,2.6839999999999997,7.896,Århus,Denmark,57.05N,10.33E
1756-04-01,4.208,2.8689999999999998,Århus,Denmark,57.05N,10.33E
1756-05-01,9.351,5.898,Århus,Denmark,57.05N,10.33E
1756-06-01,16.632,3.577,Århus,Denmark,57.05N,10.33E
1756-07-01,18.102999999999998,2.502,Århus,Denmark,57.05N,10.33E
1756-08-01,15.018999999999998,10.591,Århus,Denmark,57.05N,10.33E
1756-09-01,13.472999999999999,3.8689999999999998,Århus,Denmark,57.05N,10.33E
1756-10-01,8.355,4.119,Århus,Denmark,57.05N,10.33E
1756-11-01,1.251,5.456,Århus,Denmark,57.05N,10.33E
1756-12-01,-0.6520000000000001,2.805,Århus,Denmark,57.05N,10.33E
1757-01-01,-2.442,3.497,Århus,Denmark,57.05N,10.33E
1757-02-01,0.8570000000000001,4.937,Århus,Denmark,57.05N,10.33E
1757-03-01,1.727,4.2010000000000005,Århus,Denmark,57.05N,10.33E
1757-04-01,7.756,7.117000000000001,Århus,Denmark,57.05N,10.33E
1757-05-01,10.081,4.0889999999999995,Århus,Denmark,57.05N,10.33E
1757-06-01,16.435000000000002,4.667,Århus,Denmark,57.05N,10.33E
1757-07-01,20.179,7.553999999999999,Århus,Denmark,57.05N,10.33E
1757-08-01,16.895999999999994,5.377000000000001,Århus,Denmark,57.05N,10.33E
1757-09-01,12.892999999999999,9.281,Århus,Denmark,57.05N,10.33E
1757-10-01,4.851,12.809000000000001,Århus,Denmark,57.05N,10.33E
1757-11-01,5.122999999999998,6.157,Århus,Denmark,57.05N,10.33E
1757-12-01,0.325,11.445,Århus,Denmark,57.05N,10.33E
1758-01-01,-3.154,1.744,Århus,Denmark,57.05N,10.33E
1758-02-01,-1.1420000000000001,3.545,Århus,Denmark,57.05N,10.33E
1758-03-01,1.188,4.982,Århus,Denmark,57.05N,10.33E
1758-04-01,4.074999999999998,9.029,Århus,Denmark,57.05N,10.33E
1758-05-01,12.793,6.694,Århus,Denmark,57.05N,10.33E
1758-06-01,15.525,5.937,Århus,Denmark,57.05N,10.33E
1758-07-01,15.706,9.589,Århus,Denmark,57.05N,10.33E
1758-08-01,16.438,7.794,Århus,Denmark,57.05N,10.33E
1758-09-01,11.267000000000001,3.687,Århus,Denmark,57.05N,10.33E
1758-10-01,6.045,13.217,Århus,Denmark,57.05N,10.33E
1758-11-01,4.106,10.942,Århus,Denmark,57.05N,10.33E
1758-12-01,0.121,6.5729999999999995,Århus,Denmark,57.05N,10.33E
1759-01-01,2.6710000000000003,7.513,Århus,Denmark,57.05N,10.33E
1759-02-01,3.162,9.225,Århus,Denmark,57.05N,10.33E
1759-03-01,3.4019999999999997,3.972,Århus,Denmark,57.05N,10.33E
1759-04-01,6.065,6.655,Århus,Denmark,57.05N,10.33E
1759-05-01,9.503,3.8569999999999998,Århus,Denmark,57.05N,10.33E
1759-06-01,16.363,6.9110000000000005,Århus,Denmark,57.05N,10.33E
1759-07-01,18.645000000000003,5.303,Århus,Denmark,57.05N,10.33E
1759-08-01,17.195999999999998,8.176,Århus,Denmark,57.05N,10.33E
1759-09-01,12.299000000000001,7.154,Århus,Denmark,57.05N,10.33E
1759-10-01,8.314,5.691,Århus,Denmark,57.05N,10.33E
1759-11-01,1.885,7.407,Århus,Denmark,57.05N,10.33E
1759-12-01,-2.6580000000000004,11.807,Århus,Denmark,57.05N,10.33E
1760-01-01,-4.787,5.421,Århus,Denmark,57.05N,10.33E
1760-02-01,-0.386,3.9010000000000002,Århus,Denmark,57.05N,10.33E
1760-03-01,0.8690000000000001,10.897,Århus,Denmark,57.05N,10.33E
1760-04-01,5.651,7.83,Århus,Denmark,57.05N,10.33E
1760-05-01,11.112,4.918,Århus,Denmark,57.05N,10.33E
